"Step","gan_pb_addinitialtasks_seed1 - cover_rate_5step"
"120000","0.047"
"240000","0.032"
"360000","0.03"
"480000","0.033"
"600000","0.03"
"720000","0.028"
"840000","0.029"
"960000","0.028"
"1080000","0.033"
"1200000","0.034"
"1320000","0.036"
"1440000","0.031"
"1560000","0.042"
"1680000","0.026"
"1800000","0.039"
"1920000","0.037"
"2040000","0.042"
"2160000","0.037"
"2280000","0.031"
"2400000","0.032"
"2520000","0.033"
"2640000","0.028"
"2760000","0.034"
"2880000","0.022"
"3000000","0.041"
"3120000","0.0358"
"3240000","0.039"
"3360000","0.038"
"3480000","0.028"
"3600000","0.037"
"3720000","0.031"
"3840000","0.033"
"3960000","0.028"
"4080000","0.026"
"4200000","0.034"
"4320000","0.024"
"4440000","0.027"
"4560000","0.046"
"4680000","0.038"
"4800000","0.035"
"4920000","0.032"
"5040000","0.037"
"5160000","0.033"
"5280000","0.037"
"5400000","0.043"
"5520000","0.038"
"5640000","0.04"
"5760000","0.04"
"5880000","0.029"
"6000000","0.035"
"6120000","0.0244"
"6240000","0.04"
"6360000","0.0368"
"6480000","0.041"
"6600000","0.04"
"6720000","0.025"
"6840000","0.034"
"6960000","0.043"
"7080000","0.045"
"7200000","0.0536"
"7320000","0.041"
"7440000","0.0418"
"7560000","0.042"
"7680000","0.039"
"7800000","0.044"
"7920000","0.0442"
"8040000","0.0564"
"8160000","0.0606"
"8280000","0.047"
"8400000","0.043"
"8520000","0.0664"
"8640000","0.0518"
"8760000","0.0608"
"8880000","0.056"
"9000000","0.041"
"9120000","0.0408"
"9240000","0.0518"
"9360000","0.0562"
"9480000","0.063"
"9600000","0.0714"
"9720000","0.0688"
"9840000","0.0732"
"9960000","0.07840000000000001"
"10080000","0.059"
"10200000","0.08059999999999999"
"10320000","0.064"
"10440000","0.06720000000000001"
"10560000","0.07319999999999999"
"10680000","0.066"
"10800000","0.08680000000000002"
"10920000","0.0958"
"11040000","0.0706"
"11160000","0.079"
"11280000","0.0726"
"11400000","0.065"
"11520000","0.0874"
"11640000","0.0912"
"11760000","0.0934"
"11880000","0.0798"
"12000000","0.08159999999999999"
"12120000","0.0724"
"12240000","0.07379999999999999"
"12360000","0.075"
"12480000","0.079"
"12600000","0.0864"
"12720000","0.074"
"12840000","0.089"
"12960000","0.0836"
"13080000","0.0902"
"13200000","0.088"
"13320000","0.0856"
"13440000","0.0962"
"13560000","0.0896"
"13680000","0.105"
"13800000","0.0872"
"13920000","0.1074"
"14040000","0.1118"
"14160000","0.117"
"14280000","0.11419999999999998"
"14400000","0.12940000000000002"
"14520000","0.1214"
"14640000","0.128"
"14760000","0.1246"
"14880000","0.127"
"15000000","0.1088"
"15120000","0.107"
"15240000","0.1094"
"15360000","0.127"
"15480000","0.1122"
"15600000","0.116"
"15720000","0.1214"
"15840000","0.116"
"15960000","0.095"
"16080000","0.1224"
"16200000","0.125"
"16320000","0.12560000000000002"
"16440000","0.124"
"16560000","0.118"
"16680000","0.14339999999999997"
"16800000","0.11980000000000002"
"16920000","0.1266"
"17040000","0.124"
"17160000","0.1288"
"17280000","0.146"
"17400000","0.1256"
"17520000","0.1168"
"17640000","0.134"
"17760000","0.1404"
"17880000","0.1408"
"18000000","0.13960000000000003"
"18120000","0.1186"
"18240000","0.15880000000000002"
"18360000","0.136"
"18480000","0.1272"
"18600000","0.13960000000000003"
"18720000","0.151"
"18840000","0.1416"
"18960000","0.1544"
"19080000","0.1454"
"19200000","0.155"
"19320000","0.13140000000000002"
"19440000","0.1444"
"19560000","0.14959999999999998"
"19680000","0.1192"
"19800000","0.1362"
"19920000","0.14959999999999998"
"20040000","0.1218"
"20160000","0.1402"
"20280000","0.13379999999999995"
"20400000","0.13240000000000002"
"20520000","0.141"
"20640000","0.1484"
"20760000","0.13340000000000002"
"20880000","0.1274"
"21000000","0.1452"
"21120000","0.13760000000000003"
"21240000","0.1308"
"21360000","0.128"
"21480000","0.1346"
"21600000","0.1608"
"21720000","0.164"
"21840000","0.15619999999999998"
"21960000","0.153"
"22080000","0.135"
"22200000","0.15719999999999998"
"22320000","0.1616"
"22440000","0.168"
"22560000","0.1484"
"22680000","0.1576"
"22800000","0.16920000000000002"
"22920000","0.1714"
"23040000","0.17520000000000002"
"23160000","0.15080000000000002"
"23280000","0.1492"
"23400000","0.15819999999999998"
"23520000","0.1718"
"23640000","0.1458"
"23760000","0.1644"
"23880000","0.16739999999999997"
"24000000","0.1454"
"24120000","0.161"
"24240000","0.1524"
"24360000","0.15319999999999998"
"24480000","0.1708"
"24600000","0.1706"
"24720000","0.17980000000000002"
"24840000","0.1692"
"24960000","0.15719999999999998"
"25080000","0.17039999999999997"
"25200000","0.1534"
"25320000","0.15919999999999998"
"25440000","0.15439999999999998"
"25560000","0.15619999999999998"
"25680000","0.1438"
"25800000","0.1772"
"25920000","0.1522"
"26040000","0.153"
"26160000","0.167"
"26280000","0.169"
"26400000","0.1646"
"26520000","0.163"
"26640000","0.15919999999999998"
"26760000","0.16660000000000005"
"26880000","0.1526"
"27000000","0.1658"
"27120000","0.12"
"27240000","0.1272"
"27360000","0.16019999999999998"
"27480000","0.16"
"27600000","0.1696"
"27720000","0.164"
"27840000","0.1472"
"27960000","0.1378"
"28080000","0.142"
"28200000","0.166"
"28320000","0.1492"
"28440000","0.1288"
"28560000","0.13060000000000002"
"28680000","0.14"
"28800000","0.13879999999999998"
"28920000","0.1454"
"29040000","0.1402"
"29160000","0.1424"
"29280000","0.1448"
"29400000","0.118"
"29520000","0.15380000000000002"
"29640000","0.14039999999999997"
"29760000","0.1382"
"29880000","0.1398"
"30000000","0.12619999999999998"
"30120000","0.13760000000000003"
"30240000","0.1416"
"30360000","0.12940000000000002"
"30480000","0.12919999999999998"
"30600000","0.1504"
"30720000","0.1444"
"30840000","0.1492"
"30960000","0.156"
"31080000","0.1374"
"31200000","0.15180000000000002"
"31320000","0.15580000000000002"
"31440000","0.1386"
"31560000","0.14279999999999998"
"31680000","0.148"
"31800000","0.1438"
"31920000","0.13219999999999998"
"32040000","0.1454"
"32160000","0.16"
"32280000","0.13839999999999997"
"32400000","0.1428"
"32520000","0.15760000000000002"
"32640000","0.1482"
"32760000","0.1308"
"32880000","0.1358"
"33000000","0.135"
"33120000","0.14339999999999997"
"33240000","0.127"
"33360000","0.1182"
"33480000","0.1254"
"33600000","0.15380000000000002"
"33720000","0.1202"
"33840000","0.113"
"33960000","0.1342"
"34080000","0.128"
"34200000","0.12580000000000002"
"34320000","0.13"
"34440000","0.1262"
"34560000","0.1396"
"34680000","0.1406"
"34800000","0.1426"
"34920000","0.1234"
"35040000","0.1328"
"35160000","0.1326"
"35280000","0.1142"
"35400000","0.1082"
"35520000","0.1146"
"35640000","0.132"
"35760000","0.126"
"35880000","0.1214"
"36000000","0.1454"
"36120000","0.1384"
"36240000","0.1148"
"36360000","0.13660000000000003"
"36480000","0.13460000000000005"
"36600000","0.1124"
"36720000","0.12960000000000002"
"36840000","0.1186"
"36960000","0.1142"
"37080000","0.1242"
"37200000","0.1106"
"37320000","0.1176"
"37440000","0.1114"
"37560000","0.1364"
"37680000","0.144"
"37800000","0.139"
"37920000","0.1502"
"38040000","0.13"
"38160000","0.1208"
"38280000","0.1196"
"38400000","0.1338"
"38520000","0.1334"
"38640000","0.126"
"38760000","0.11419999999999998"
"38880000","0.1288"
"39000000","0.119"
"39120000","0.12719999999999998"
"39240000","0.1416"
"39360000","0.1394"
"39480000","0.1328"
"39600000","0.12960000000000002"
"39720000","0.1232"
"39840000","0.1446"
"39960000","0.12539999999999998"
"40080000","0.14060000000000003"
"40200000","0.1218"
"40320000","0.1406"
"40440000","0.1222"
"40560000","0.15480000000000002"
"40680000","0.1482"
"40800000","0.142"
"40920000","0.1258"
"41040000","0.12580000000000002"
"41160000","0.12660000000000002"
"41280000","0.1318"
"41400000","0.146"
"41520000","0.117"
"41640000","0.12719999999999998"
"41760000","0.1408"
"41880000","0.146"
"42000000","0.1102"
"42120000","0.12"
"42240000","0.118"
"42360000","0.12580000000000002"
"42480000","0.1174"
"42600000","0.1226"
"42720000","0.1332"
"42840000","0.1272"
"42960000","0.1214"
"43080000","0.1058"
"43200000","0.1164"
"43320000","0.1176"
"43440000","0.1268"
"43560000","0.1242"
"43680000","0.12619999999999998"
"43800000","0.1186"
"43920000","0.1348"
"44040000","0.13040000000000002"
"44160000","0.1102"
"44280000","0.1138"
"44400000","0.1094"
"44520000","0.0912"
"44640000","0.1132"
"44760000","0.1174"
"44880000","0.0986"
"45000000","0.125"
"45120000","0.1166"
"45240000","0.1326"
"45360000","0.1124"
"45480000","0.1082"
"45600000","0.123"
"45720000","0.1274"
"45840000","0.1204"
"45960000","0.1142"
"46080000","0.1218"
"46200000","0.1106"
"46320000","0.094"
"46440000","0.1186"
"46560000","0.1048"
"46680000","0.1134"
"46800000","0.11"
"46920000","0.1034"
"47040000","0.1118"
"47160000","0.1182"
"47280000","0.1154"
"47400000","0.1352"
"47520000","0.1088"
"47640000","0.1222"
"47760000","0.109"
"47880000","0.11"
"48000000","0.1108"
"48120000","0.099"
"48240000","0.0948"
"48360000","0.0994"
"48480000","0.108"
"48600000","0.107"
"48720000","0.1148"
"48840000","0.1012"
"48960000","0.1176"
"49080000","0.0978"
"49200000","0.091"
"49320000","0.0918"
"49440000","0.0918"
"49560000","0.1084"
"49680000","0.096"
"49800000","0.1212"
"49920000","0.0982"
"50040000","0.113"
"50160000","0.1062"
"50280000","0.114"
"50400000","0.1088"
"50520000","0.1328"
"50640000","0.112"
"50760000","0.1176"
"50880000","0.08719999999999999"
"51000000","0.1024"
"51120000","0.0992"
"51240000","0.102"
"51360000","0.1006"
"51480000","0.1058"
"51600000","0.1012"
"51720000","0.082"
"51840000","0.0912"
"51960000","0.0926"
"52080000","0.1034"
"52200000","0.0858"
"52320000","0.0862"
"52440000","0.0896"
"52560000","0.0924"
"52680000","0.0856"
"52800000","0.085"
"52920000","0.1042"
"53040000","0.0992"
"53160000","0.0982"
"53280000","0.088"
"53400000","0.0854"
"53520000","0.102"
"53640000","0.1068"
"53760000","0.0946"
"53880000","0.1012"
"54000000","0.1008"
"54120000","0.093"
"54240000","0.08059999999999999"
"54360000","0.1164"
"54480000","0.0972"
"54600000","0.108"
"54720000","0.0842"
"54840000","0.1016"
"54960000","0.0878"
"55080000","0.0902"
"55200000","0.0976"
"55320000","0.1074"
"55440000","0.1034"
"55560000","0.1006"
"55680000","0.094"
"55800000","0.1068"
"55920000","0.0944"
"56040000","0.104"
"56160000","0.111"
"56280000","0.1034"
"56400000","0.1218"
"56520000","0.101"
"56640000","0.1088"
"56760000","0.1042"
"56880000","0.1006"
"57000000","0.106"
"57120000","0.0966"
"57240000","0.1048"
"57360000","0.0936"
"57480000","0.078"
"57600000","0.12960000000000002"
"57720000","0.1004"
"57840000","0.1016"
"57960000","0.0876"
"58080000","0.1018"
"58200000","0.0962"
"58320000","0.0994"
"58440000","0.0924"
"58560000","0.08880000000000002"
"58680000","0.0968"
"58800000","0.10380000000000002"
"58920000","0.0952"
"59040000","0.096"
"59160000","0.0918"
"59280000","0.10280000000000002"
"59400000","0.091"
"59520000","0.10180000000000002"
"59640000","0.0914"
"59760000","0.1012"
"59880000","0.08979999999999999"
"60000000","0.1102"
"60120000","0.0864"
"60240000","0.08"
"60360000","0.1002"
"60480000","0.1024"
"60600000","0.0956"
"60720000","0.1036"
"60840000","0.0942"
"60960000","0.1044"
"61080000","0.106"
"61200000","0.1048"
"61320000","0.1006"
"61440000","0.0914"
"61560000","0.1244"
"61680000","0.1052"
"61800000","0.1142"
"61920000","0.0984"
"62040000","0.1204"
"62160000","0.0942"
"62280000","0.08919999999999999"
"62400000","0.1064"
"62520000","0.094"
"62640000","0.0994"
"62760000","0.0938"
"62880000","0.106"
"63000000","0.104"
"63120000","0.0916"
"63240000","0.1054"
"63360000","0.0686"
"63480000","0.08580000000000002"
"63600000","0.1038"
"63720000","0.1086"
"63840000","0.086"
"63960000","0.09"
"64080000","0.1016"
"64200000","0.0946"
"64320000","0.0976"
"64440000","0.1048"
"64560000","0.1072"
"64680000","0.093"
"64800000","0.114"
"64920000","0.109"
"65040000","0.1052"
"65160000","0.116"
"65280000","0.0976"
"65400000","0.0928"
"65520000","0.1172"
"65640000","0.1178"
"65760000","0.1164"
"65880000","0.108"
"66000000","0.1112"
"66120000","0.104"
"66240000","0.0964"
"66360000","0.1286"
"66480000","0.111"
"66600000","0.1022"
"66720000","0.1132"
"66840000","0.10480000000000002"
"66960000","0.1118"
"67080000","0.093"
"67200000","0.107"
"67320000","0.0944"
"67440000","0.1042"
"67560000","0.1108"
"67680000","0.0926"
"67800000","0.095"
"67920000","0.1094"
"68040000","0.1202"
"68160000","0.1078"
"68280000","0.0992"
"68400000","0.1028"
"68520000","0.1144"
"68640000","0.1044"
"68760000","0.1124"
"68880000","0.1178"
"69000000","0.1168"
"69120000","0.1198"
"69240000","0.0966"
"69360000","0.1112"
"69480000","0.099"
"69600000","0.1004"
"69720000","0.113"
"69840000","0.1032"
"69960000","0.12360000000000002"
"70080000","0.1012"
"70200000","0.1144"
"70320000","0.107"
"70440000","0.1176"
"70560000","0.1208"
"70680000","0.0892"
"70800000","0.1234"
"70920000","0.11519999999999998"
"71040000","0.1074"
"71160000","0.10760000000000002"
"71280000","0.094"
"71400000","0.1086"
"71520000","0.11"
"71640000","0.1064"
"71760000","0.103"
"71880000","0.092"
"72000000","0.094"
"72120000","0.1024"
"72240000","0.0828"
"72360000","0.0864"
"72480000","0.1144"
"72600000","0.0926"
"72720000","0.1058"
"72840000","0.0962"
"72960000","0.1146"
"73080000","0.1068"
"73200000","0.104"
"73320000","0.0918"
"73440000","0.1156"
"73560000","0.1034"
"73680000","0.123"
"73800000","0.1138"
"73920000","0.1234"
"74040000","0.0842"
"74160000","0.0904"
"74280000","0.1066"
"74400000","0.0906"
"74520000","0.0712"
"74640000","0.1008"
"74760000","0.08979999999999999"
"74880000","0.089"
"75000000","0.097"
"75120000","0.0886"
"75240000","0.0864"
"75360000","0.07540000000000001"
"75480000","0.0854"
"75600000","0.082"
"75720000","0.0978"
"75840000","0.0778"
"75960000","0.095"
"76080000","0.079"
"76200000","0.081"
"76320000","0.0906"
"76440000","0.0752"
"76560000","0.07859999999999999"
"76680000","0.066"
"76800000","0.0644"
"76920000","0.07579999999999999"
"77040000","0.0638"
"77160000","0.082"
"77280000","0.0942"
"77400000","0.0896"
"77520000","0.0898"
"77640000","0.0922"
"77760000","0.08059999999999999"
"77880000","0.0932"
"78000000","0.0896"
"78120000","0.079"
"78240000","0.07280000000000002"
"78360000","0.076"
"78480000","0.08580000000000002"
"78600000","0.086"
"78720000","0.1068"
"78840000","0.0886"
"78960000","0.0812"
"79080000","0.1044"
"79200000","0.0962"
"79320000","0.0934"
"79440000","0.0762"
"79560000","0.0844"
"79680000","0.096"
"79800000","0.0984"
"79920000","0.08220000000000001"