"Step","sp_gradient_sampling_h1_seed3 - cover_rate_5step"
"105000","0.0001"
"210000","0"
"315000","0.0005"
"420000","0.0022"
"525000","0.0026"
"630000","0.0035999999999999995"
"735000","0.005900000000000001"
"840000","0.0093"
"945000","0.0101"
"1050000","0.0151"
"1155000","0.0935"
"1260000","0.1014"
"1365000","0.1179"
"1470000","0.119"
"1575000","0.1691"
"1680000","0.1854"
"1785000","0.2144"
"1890000","0.26609999999999995"
"1995000","0.26970000000000005"
"2100000","0.266"
"2205000","0.3108"
"2310000","0.2745"
"2415000","0.2544"
"2520000","0.2694"
"2625000","0.2805"
"2730000","0.298"
"2835000","0.2897"
"2940000","0.2959"
"3045000","0.3271"
"3150000","0.3741"
"3255000","0.3807"
"3360000","0.41529999999999995"
"3465000","0.4466"
"3570000","0.405"
"3675000","0.417"
"3780000","0.4337"
"3885000","0.4522"
"3990000","0.475"
"4095000","0.4857"
"4200000","0.4818"
"4305000","0.517"
"4410000","0.5084000000000001"
"4515000","0.5034000000000001"
"4620000","0.5147999999999999"
"4725000","0.5418000000000001"
"4830000","0.5334000000000001"
"4935000","0.5534"
"5040000","0.5607000000000001"
"5145000","0.593"
"5250000","0.5896"
"5355000","0.5852"
"5460000","0.5967"
"5565000","0.5878000000000001"
"5670000","0.6068"
"5775000","0.6177999999999999"
"5880000","0.6345"
"5985000","0.6360000000000001"
"6090000","0.6377999999999999"
"6195000","0.6535"
"6300000","0.6598"
"6405000","0.6638"
"6510000","0.6524000000000001"
"6615000","0.6429000000000001"
"6720000","0.6477999999999999"
"6825000","0.6792"
"6930000","0.6800999999999999"
"7035000","0.7090000000000001"
"7140000","0.6972"
"7245000","0.7118"
"7350000","0.6747000000000001"
"7455000","0.6949"
"7560000","0.6971"
"7665000","0.6822999999999999"
"7770000","0.7061000000000001"
"7875000","0.6962"
"7980000","0.706"
"8085000","0.7085"
"8190000","0.7032999999999999"
"8295000","0.7078"
"8400000","0.7246"
"8505000","0.7446"
"8610000","0.7369"
"8715000","0.7296999999999999"
"8820000","0.7306"
"8925000","0.7263"
"9030000","0.7168"
"9135000","0.7372"
"9240000","0.7345999999999999"
"9345000","0.7445"
"9450000","0.7422000000000001"
"9555000","0.7565"
"9660000","0.7686000000000001"
"9765000","0.7524"
"9870000","0.7582000000000001"
"9975000","0.7612000000000001"
"10080000","0.7669000000000001"
"10185000","0.7327"
"10290000","0.7524"
"10395000","0.7510999999999999"
"10500000","0.7383"
"10605000","0.744"
"10710000","0.7439"
"10815000","0.7505999999999999"
"10920000","0.746"
"11025000","0.7545"
"11130000","0.7626000000000001"
"11235000","0.7555"
"11340000","0.7672"
"11445000","0.7639"
"11550000","0.7726000000000001"
"11655000","0.7903"
"11760000","0.7813"
"11865000","0.7777000000000001"
"11970000","0.7822"
"12075000","0.7934"
"12180000","0.805"
"12285000","0.7906"
"12390000","0.7915"
"12495000","0.811"
"12600000","0.7938999999999999"
"12705000","0.8088"
"12810000","0.8074000000000001"
"12915000","0.8089000000000001"
"13020000","0.8182999999999999"
"13125000","0.8265"
"13230000","0.8168"
"13335000","0.8312"
"13440000","0.8307"
"13545000","0.8218"
"13650000","0.8075999999999999"
"13755000","0.8245"
"13860000","0.8184"
"13965000","0.8175"
"14070000","0.8182"
"14175000","0.8207000000000001"
"14280000","0.8225"
"14385000","0.8194000000000001"
"14490000","0.8152"
"14595000","0.8335"
"14700000","0.8199"
"14805000","0.8381"
"14910000","0.8109"
"15015000","0.836"
"15120000","0.8385"
"15225000","0.8238"
"15330000","0.8346"
"15435000","0.8493"
"15540000","0.8435"
"15645000","0.8416"
"15750000","0.8427"
"15855000","0.8279000000000001"
"15960000","0.8432999999999999"
"16065000","0.8428"
"16170000","0.8412000000000001"
"16275000","0.8468000000000001"
"16380000","0.8452999999999999"
"16485000","0.8508"
"16590000","0.8555"
"16695000","0.8458"
"16800000","0.8546"
"16905000","0.8639"
"17010000","0.8519999999999999"
"17115000","0.8463999999999999"
"17220000","0.8692"
"17325000","0.8402999999999999"
"17430000","0.8627999999999999"
"17535000","0.8442000000000001"
"17640000","0.8503"
"17745000","0.8498"
"17850000","0.851"
"17955000","0.8571"
"18060000","0.862"
"18165000","0.8593"
"18270000","0.8572000000000001"
"18375000","0.8722000000000001"
"18480000","0.8576"
"18585000","0.867"
"18690000","0.8683"
"18795000","0.8876000000000001"
"18900000","0.8757"
"19005000","0.87"
"19110000","0.8552"
"19215000","0.8622000000000001"
"19320000","0.8724"
"19425000","0.8707"
"19530000","0.8734"
"19635000","0.8756"
"19740000","0.8812000000000001"
"19845000","0.8814"
"19950000","0.8932"
"20055000","0.8894"
"20160000","0.8853"
"20265000","0.8903000000000001"
"20370000","0.8865"
"20475000","0.8833"
"20580000","0.8978999999999998"
"20685000","0.8769000000000001"
"20790000","0.8772000000000001"
"20895000","0.8856"
"21000000","0.8713"
"21105000","0.8887999999999999"
"21210000","0.8837999999999999"
"21315000","0.8965"
"21420000","0.9052"
"21525000","0.9021"
"21630000","0.9052"
"21735000","0.9085"
"21840000","0.8850999999999999"
"21945000","0.8985"
"22050000","0.9008"
"22155000","0.9068"
"22260000","0.9004"
"22365000","0.898"
"22470000","0.9095"
"22575000","0.901"
"22680000","0.8909"
"22785000","0.9035"
"22890000","0.9115"
"22995000","0.9183"
"23100000","0.9178"
"23205000","0.9061"
"23310000","0.9018"
"23415000","0.9005"
"23520000","0.9129"
"23625000","0.8973"
"23730000","0.9062"
"23835000","0.9016"
"23940000","0.8998999999999999"
"24045000","0.9035"
"24150000","0.9045"
"24255000","0.906"
"24360000","0.9165"
"24465000","0.9127"
"24570000","0.9154"
"24675000","0.9107"
"24780000","0.9138"
"24885000","0.9234"
"24990000","0.9096"
"25095000","0.9108"
"25200000","0.9106"
"25305000","0.9168"
"25410000","0.9124"
"25515000","0.9217"
"25620000","0.9202"
"25725000","0.9059"
"25830000","0.9207"
"25935000","0.9208"
"26040000","0.928"
"26145000","0.9204"
"26250000","0.9134"
"26355000","0.9004000000000001"
"26460000","0.9038"
"26565000","0.902"
"26670000","0.8987"
"26775000","0.9192"
"26880000","0.9181"
"26985000","0.9177"
"27090000","0.9143"
"27195000","0.9283"
"27300000","0.9269"
"27405000","0.9237"
"27510000","0.923"
"27615000","0.9347"
"27720000","0.9364"
"27825000","0.9438"
"27930000","0.9409"
"28035000","0.9402"
"28140000","0.9331"
"28245000","0.9369"
"28350000","0.9394"
"28455000","0.9379"
"28560000","0.936"
"28665000","0.9457"
"28770000","0.9395"
"28875000","0.9387"
"28980000","0.9482"
"29085000","0.9451"
"29190000","0.9509"
"29295000","0.9393"
"29400000","0.936"
"29505000","0.9397"
"29610000","0.9401"
"29715000","0.9333"
"29820000","0.9436"
"29925000","0.9469"
"30030000","0.9406"
"30135000","0.9426"
"30240000","0.9508"
"30345000","0.954"
"30450000","0.9394"
"30555000","0.9271"
"30660000","0.9422"
"30765000","0.9219"
"30870000","0.9307"
"30975000","0.9251"
"31080000","0.9373"
"31185000","0.94"
"31290000","0.9548"
"31395000","0.9462"
"31500000","0.9508"
"31605000","0.949"
"31710000","0.9568"
"31815000","0.9448"
"31920000","0.9515"
"32025000","0.9613"
"32130000","0.94"
"32235000","0.9433"
"32340000","0.9386"
"32445000","0.9502"
"32550000","0.9324"
"32655000","0.9457"
"32760000","0.9375"
"32865000","0.9496"
"32970000","0.9374"
"33075000","0.9428"
"33180000","0.9402"
"33285000","0.9431"
"33390000","0.9429"
"33495000","0.9539"
"33600000","0.9394"
"33705000","0.9628"
"33810000","0.9684"
"33915000","0.9649"
"34020000","0.9451"
"34125000","0.9439"
"34230000","0.9582"
"34335000","0.9551"
"34440000","0.9606"
"34545000","0.9472"
"34650000","0.9466"
"34755000","0.9634"
"34860000","0.9601"
"34965000","0.9568"
"35070000","0.9603"
"35175000","0.9652"
"35280000","0.9604"
"35385000","0.9668"
"35490000","0.9494"
"35595000","0.9562"
"35700000","0.9565"
"35805000","0.9563"
"35910000","0.9598"
"36015000","0.9636"
"36120000","0.9619"
"36225000","0.9498"
"36330000","0.9585"
"36435000","0.9514"
"36540000","0.9553"
"36645000","0.9506"
"36750000","0.9562"
"36855000","0.9592"
"36960000","0.9552"
"37065000","0.9603"
"37170000","0.9509"
"37275000","0.9631"
"37380000","0.9556"
"37485000","0.9575"
"37590000","0.9568"
"37695000","0.9576"
"37800000","0.9526"
"37905000","0.9559"
"38010000","0.9605"
"38115000","0.9566"
"38220000","0.9673"
"38325000","0.9568"
"38430000","0.9569"
"38535000","0.9616"
"38640000","0.9631"
"38745000","0.948"
"38850000","0.9628"
"38955000","0.9616"
"39060000","0.9588"
"39165000","0.9493"
"39270000","0.9518"
"39375000","0.9604"
"39480000","0.9465"
"39585000","0.9478"
"39690000","0.943"
"39795000","0.9429"
"39900000","0.9485"